日期,方向,結算日,ATR,停損,停利,進場價,出場原因,損益點數,淨損益(元),年份
2011-01-20,多,,101,40,81,9028,尾盤出場,-22.0,-250,2011
2011-01-21,空,,110,44,88,8900,停損,-44.0,-470,2011
2011-01-24,多,,109,44,87,8930,尾盤出場,14.0,110,2011
2011-01-25,多,,100,40,80,9005,尾盤出場,-36.0,-390,2011
2011-01-26,多,,103,41,82,8998,移動停利,55.0,520,2011
2011-01-27,多,,97,39,78,9086,移動停利,20.0,170,2011
2011-01-28,多,,96,38,77,9124,尾盤出場,12.0,90,2011
2011-02-08,空,,92,37,73,9170,停利,73.0,700,2011
2011-02-09,空,,97,39,78,9067,停損,-39.0,-420,2011
2011-02-10,多,,104,42,83,8974,停損,-42.0,-450,2011
2011-02-11,空,,122,49,98,8787,移動停利,54.0,510,2011
2011-02-14,多,,125,50,100,8634,移動停利,39.0,360,2011
2011-02-15,多,,129,52,104,8644,移動停利,69.0,660,2011
2011-02-16,多,是,126,50,101,8735,尾盤出場,-16.0,-190,2011
2011-02-17,多,,129,52,103,8658,停損,-52.0,-550,2011
2011-02-18,多,,134,53,107,8736,停利,107.0,1040,2011
2011-02-21,空,,136,54,109,8784,移動停利,32.0,290,2011
2011-02-22,空,,148,59,118,8653,移動停利,63.0,600,2011
2011-02-23,多,,151,61,121,8592,移動停利,17.0,140,2011
2011-02-24,多,,154,61,123,8561,移動停利,29.0,260,2011
2011-02-25,空,,164,66,132,8559,移動停利,51.0,480,2011
2011-03-01,空,,162,65,129,8650,尾盤出場,-41.0,-440,2011
2011-03-02,多,,160,64,128,8617,移動停利,37.0,340,2011
2011-03-03,空,,157,63,125,8650,停損,-63.0,-660,2011
2011-03-04,空,,139,55,111,8783,尾盤出場,19.0,160,2011
2011-03-07,空,,135,54,108,8721,移動停利,24.0,210,2011
2011-03-08,多,,125,50,100,8716,移動停利,22.0,190,2011
2011-03-09,空,,128,51,102,8786,移動停利,68.0,650,2011
2011-03-10,空,,130,52,104,8723,停利,104.0,1010,2011
2011-03-11,空,,124,50,99,8543,移動停利,40.0,370,2011
2011-03-14,多,,133,53,106,8544,停損,-53.0,-560,2011
2011-03-15,空,,151,61,121,8475,停利,121.0,1180,2011
2011-03-16,空,是,151,60,121,8377,移動停利,93.0,900,2011
2011-03-17,多,,156,62,125,8199,移動停利,31.0,280,2011
2011-03-18,多,,148,59,119,8307,尾盤出場,16.0,130,2011
2011-03-21,多,,151,60,120,8363,移動停利,62.0,590,2011
2011-03-22,多,,149,60,119,8449,移動停利,10.0,70,2011
2011-03-23,多,,147,59,117,8429,移動停利,61.0,580,2011
2011-03-24,多,,150,60,120,8529,尾盤出場,-2.0,-50,2011
2011-03-25,空,,151,60,121,8573,尾盤出場,-3.0,-60,2011
2011-03-28,空,,153,61,123,8563,移動停利,34.0,310,2011
2011-03-29,多,,153,61,123,8510,移動停利,38.0,350,2011
2011-03-30,多,,148,59,118,8610,移動停利,20.0,170,2011
2011-03-31,多,,144,58,115,8633,停損,-58.0,-610,2011
2011-04-01,空,,134,53,107,8634,尾盤出場,-50.0,-530,2011
2011-04-06,多,,110,44,88,8760,停利,88.0,850,2011
2011-04-07,空,,105,42,84,8861,移動停利,18.0,150,2011
2011-04-08,空,,98,39,79,8876,停損,-39.0,-420,2011
2011-04-11,空,,96,39,77,8852,移動停利,12.0,90,2011
2011-04-12,空,,99,39,79,8797,停利,79.0,760,2011
2011-04-13,空,,100,40,80,8720,停損,-40.0,-430,2011
2011-04-14,空,,99,40,79,8780,停損,-40.0,-430,2011
2011-04-15,空,,102,41,82,8780,停利,82.0,790,2011
2011-04-18,多,,101,40,81,8728,移動停利,12.0,90,2011
2011-04-19,空,,104,41,83,8645,移動停利,40.0,370,2011
2011-04-20,多,是,109,44,87,8712,停利,87.0,840,2011
2011-04-21,多,,119,47,95,8904,停利,95.0,920,2011
2011-04-22,空,,115,46,92,8981,尾盤出場,-9.0,-120,2011
2011-04-25,空,,118,47,95,9003,移動停利,41.0,380,2011
2011-04-26,多,,114,46,91,8928,移動停利,34.0,310,2011
2011-04-27,空,,116,46,93,9046,尾盤出場,-12.0,-150,2011
2011-04-28,空,,116,47,93,9085,尾盤出場,68.0,650,2011
2011-04-29,多,,120,48,96,9019,停損,-48.0,-510,2011
2011-05-03,空,,122,49,97,9012,停利,97.0,940,2011
2011-05-04,空,,120,48,96,8889,停損,-48.0,-510,2011
2011-05-05,多,,126,50,100,8910,停利,100.0,970,2011
2011-05-06,多,,122,49,98,8990,移動停利,10.0,70,2011
2011-05-09,多,,124,50,99,9022,移動停利,69.0,660,2011
2011-05-10,空,,118,47,95,9050,尾盤出場,5.0,20,2011
2011-05-11,空,,113,45,91,9100,移動停利,67.0,640,2011
2011-05-12,多,,107,43,86,8968,停利,86.0,830,2011
2011-05-13,多,,109,44,87,9052,停損,-44.0,-470,2011
2011-05-16,空,,110,44,88,8981,移動停利,21.0,180,2011
2011-05-17,空,,108,43,87,8900,移動停利,33.0,300,2011
2011-05-18,多,是,104,42,83,8930,尾盤出場,3.0,0,2011
2011-05-19,多,,112,45,90,8968,移動停利,55.0,520,2011
2011-05-20,空,,112,45,89,8877,移動停利,51.0,480,2011
2011-05-23,空,,110,44,88,8721,停損,-44.0,-470,2011
2011-05-24,空,,110,44,88,8720,移動停利,40.0,370,2011
2011-05-25,空,,106,42,85,8711,移動停利,41.0,380,2011
2011-05-26,空,,108,43,86,8749,移動停利,10.0,70,2011
2011-05-27,多,,106,42,85,8798,移動停利,37.0,340,2011
2011-05-30,多,,111,45,89,8765,移動停利,42.0,390,2011
2011-05-31,多,,119,48,95,8874,停利,95.0,920,2011
2011-06-01,多,,117,47,94,9037,尾盤出場,49.0,460,2011
2011-06-02,多,,121,48,97,9022,移動停利,15.0,120,2011
2011-06-03,空,,118,47,95,9047,移動停利,29.0,260,2011
